Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
... < 0 DM;24.0;critical account/ other credits existing (not at this bank);car (used);6615.0;... < 100 DM;unemployed;2.0;male : single;none;4.0;unknown / no property;75.0;none;for free;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);education;1864.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;real estate;30.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;60.0;existing credits paid back duly till now;car (new);7408.0;100 <= ... < 500 DM;... < 1 year;4.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;24.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;1
no checking account;48.0;critical account/ other credits existing (not at this bank);car (used);11590.0;100 <= ... < 500 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;4.0;car or other;24.0;bank;rent;2.0;unskilled - resident;1.0;none;yes;1
... < 0 DM;24.0;no credits taken/ all credits paid back duly;furniture/equipment;4110.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;4.0;unknown / no property;23.0;bank;rent;2.0;skilled employee / official;2.0;none;yes;1
... < 0 DM;6.0;critical account/ other credits existing (not at this bank);furniture/equipment;3384.0;... < 100 DM;1 <= ... < 4 years;1.0;male : divorced/separated;none;4.0;real estate;44.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;13.0;existing credits paid back duly till now;radio/television;2101.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;guarantor;4.0; building society savings agreement/ life insurance;23.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;15.0;existing credits paid back duly till now;domestic appliances;1275.0;unknown/ no savings account;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;car or other;24.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;4169.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;10.0;existing credits paid back duly till now;furniture/equipment;1521.0;... < 100 DM;1 <= ... < 4 years;4.0;male : divorced/separated;none;2.0;car or other;31.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;24.0;critical account/ other credits existing (not at this bank);education;5743.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;4.0;unknown / no property;24.0;none;for free;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;21.0;existing credits paid back duly till now;furniture/equipment;3599.0;... < 100 DM;4 <= ... < 7 years;1.0;female : divorced/separated/married;none;4.0;car or other;26.0;none;rent;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;radio/television;3213.0;500 <= ... < 1000 DM;... < 1 year;1.0;male : married/widowed;none;3.0;real estate;25.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;business;4439.0;... < 100 DM;.. >= 7 years;1.0;male : single;co-applicant;1.0;real estate;33.0;bank;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;10.0;existing credits paid back duly till now;car (new);3949.0;... < 100 DM;... < 1 year;1.0;male : single;guarantor;1.0; building society savings agreement/ life insurance;37.0;none;own;1.0;unskilled - resident;2.0;none;yes;0
no checking account;15.0;critical account/ other credits existing (not at this bank);radio/television;1459.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;car or other;43.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;13.0;critical account/ other credits existing (not at this bank);radio/television;882.0;... < 100 DM;... < 1 year;4.0;male : single;guarantor;4.0;real estate;23.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;radio/television;3758.0;500 <= ... < 1000 DM;unemployed;1.0;female : divorced/separated/married;none;4.0;unknown / no property;23.0;none;rent;1.0;unemployed/ unskilled - non-resident;1.0;none;yes;0
no checking account;6.0;delay in paying off in the past;business;1743.0;100 <= ... < 500 DM;1 <= ... < 4 years;1.0;male : single;none;2.0;real estate;34.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;9.0;critical account/ other credits existing (not at this bank);education;1136.0;.. >= 1000 DM;.. >= 7 years;4.0;male : single;none;3.0;unknown / no property;32.0;none;for free;2.0;skilled employee / official;2.0;none;yes;1
no checking account;9.0;existing credits paid back duly till now;domestic appliances;1236.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;4.0;real estate;23.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;furniture/equipment;959.0;... < 100 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;2.0;car or other;29.0;none;own;1.0;skilled employee / official;1.0;none;no;1
no checking account;18.0;critical account/ other credits existing (not at this bank);car (used);3229.0;unknown/ no savings account;unemployed;2.0;male : single;none;4.0;unknown / no property;38.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;12.0;no credits taken/ all credits paid back duly;radio/television;6199.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0; building society savings agreement/ life insurance;28.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;10.0;existing credits paid back duly till now;education;727.0;500 <= ... < 1000 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;46.0;none;for free;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;car (new);1246.0;... < 100 DM;... < 1 year;4.0;male : single;none;2.0;real estate;23.0;stores;own;1.0;unskilled - resident;1.0;none;yes;1
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;2331.0;unknown/ no savings account;.. >= 7 years;1.0;male : single;co-applicant;4.0;real estate;49.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;36.0;delay in paying off in the past;radio/television;4463.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;car or other;26.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;12.0;existing credits paid back duly till now;radio/television;776.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;2.0;real estate;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;30.0;existing credits paid back duly till now;furniture/equipment;2406.0;... < 100 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;4.0;real estate;23.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;education;1239.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : single;none;4.0;unknown / no property;61.0;none;for free;1.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;existing credits paid back duly till now;radio/television;3399.0;unknown/ no savings account;.. >= 7 years;2.0;male : single;none;3.0;car or other;37.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;delay in paying off in the past;car (new);2247.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;2.0;car or other;36.0;stores;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;6.0;existing credits paid back duly till now;furniture/equipment;1766.0;... < 100 DM;1 <= ... < 4 years;1.0;male : married/widowed;none;2.0; building society savings agreement/ life insurance;21.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;furniture/equipment;2473.0;... < 100 DM;unemployed;4.0;male : single;none;1.0;car or other;25.0;none;own;1.0;unemployed/ unskilled - non-resident;1.0;none;yes;1
no checking account;12.0;existing credits paid back duly till now;business;1542.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;4.0;car or other;36.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);car (used);3850.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;1.0;car or other;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;furniture/equipment;3650.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;4.0;car or other;22.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;36.0;existing credits paid back duly till now;furniture/equipment;3446.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;2.0;car or other;42.0;none;own;1.0;skilled employee / official;2.0;none;yes;1
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;furniture/equipment;3001.0;... < 100 DM;4 <= ... < 7 years;2.0;female : divorced/separated/married;none;4.0;real estate;40.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
no checking account;36.0;existing credits paid back duly till now;car (new);3079.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : single;none;4.0;real estate;36.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);radio/television;6070.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;4.0;car or other;33.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;10.0;critical account/ other credits existing (not at this bank);furniture/equipment;2146.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;3.0;real estate;23.0;none;rent;2.0;skilled employee / official;1.0;none;yes;0
no checking account;60.0;critical account/ other credits existing (not at this bank);car (new);13756.0;unknown/ no savings account;.. >= 7 years;2.0;male : single;none;4.0;unknown / no property;63.0;bank;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;60.0;all credits at this bank paid back duly;others;14782.0;100 <= ... < 500 DM;.. >= 7 years;3.0;female : divorced/separated/married;none;4.0;unknown / no property;60.0;bank;for free;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
... < 0 DM;48.0;all credits at this bank paid back duly;business;7685.0;... < 100 DM;4 <= ... < 7 years;2.0;female : divorced/separated/married;guarantor;4.0;car or other;37.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
no checking account;18.0;delay in paying off in the past;radio/television;2320.0;... < 100 DM;unemployed;2.0;male : married/widowed;none;3.0;real estate;34.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;7.0;delay in paying off in the past;radio/television;846.0;unknown/ no savings account;.. >= 7 years;3.0;male : single;none;4.0;unknown / no property;36.0;none;for free;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;car (new);14318.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;2.0;unknown / no property;57.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;6.0;critical account/ other credits existing (not at this bank);car (new);362.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0;car or other;52.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;20.0;existing credits paid back duly till now;furniture/equipment;2212.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;none;4.0;car or other;39.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;car (used);12976.0;... < 100 DM;unemployed;3.0;female : divorced/separated/married;none;4.0;unknown / no property;38.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;22.0;existing credits paid back duly till now;car (new);1283.0;unknown/ no savings account;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;25.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;existing credits paid back duly till now;car (new);1330.0;... < 100 DM;... < 1 year;4.0;male : single;none;1.0;real estate;26.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
